repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
Deeptrain-Community/chatnio,AI engineering,AIE framework,4173,562,13.47%,1063,25.47%,619,🚀 Next Generation AI One-Stop Internationalization Solution. 🚀 下一代 AI 一站式 B/C 端解决方案，支持 OpenAI，Midjourney，Claude，讯飞星火，Stable Diffusion，DALL·E，ChatGLM，通义千问，腾讯混元，360 智脑，百川 AI，火山方舟，新必应，Gemini，Moonshot 等模型，支持对话分享，自定义预设，云端同步，模型市场，支持弹性计费和订阅计划模式，支持图片解析，支持联网搜索，支持模型缓存，丰富美观的后台管理与仪表盘数据统计。,"zmh-program, Sh1n3zZ, XiaomaiTX",11,2023-07-17,2024-10-16,455
iterative/datachain,AI engineering,Agent,1307,361,27.62%,378,28.92%,62,"AI-data warehouse to enrich, transform and analyze data from cloud storages","mattseddon, skshetry, rlamy",21,2024-06-25,2024-11-01,0
abi/screenshot-to-code,Applications,Coding,58529,352,0.60%,1634,2.79%,7246,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),"abi, clean99, kachbit",23,2023-11-14,2024-09-06,0
Mintplex-Labs/anything-llm,Applications,Info aggregation,26228,270,1.03%,971,3.70%,2616,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, and more.","timothycarambat, shatfield4, MrSimonC",78,2023-06-04,2024-11-05,0
Cinnamon/kotaemon,AI engineering,AIE framework,16365,230,1.41%,1652,10.09%,1258,An open-source RAG-based tool for chatting with your documents.,"trducng, taprosoft, lone17",23,2024-03-25,2024-11-05,4537
OpenDevin/OpenDevin,Applications,Coding,34067,202,0.59%,767,2.25%,3881,"🙌 OpenHands: Code Less, Make More","xingyaoww, rbren, tobitege",100+,2024-03-13,2024-11-05,0
Microsoft/genaiscript,AI engineering,Prompt engineering,1746,182,10.42%,1351,77.38%,86,Automatable GenAI Scripting,"pelikhan, bzorn, mmoskal",19,2023-08-17,2024-11-05,400
rasbt/LLMs-from-scratch,Tutorials,,30905,167,0.54%,705,2.28%,3677,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","rasbt, d-kleine, Intelligence-Manifesto",27,2023-07-23,2024-11-03,0
jmorganca/ollama,AI engineering,AI interface,96361,156,0.16%,988,1.03%,7652,"Get up and running with Llama 3.2, Mistral, Gemma 2, and other large language models.","mxyng, jmorganca, dhiltgen",100+,2023-06-26,2024-11-05,1938609
Skyvern-AI/skyvern,Applications,Workflow automation,9982,130,1.30%,898,9.00%,674,Automate browser-based workflows with LLMs and Computer Vision,"ykeremy, wintonzheng, LawyZheng",20,2024-02-28,2024-11-05,0
langgenius/dify,AI engineering,AIE framework,50713,112,0.22%,730,1.44%,7285,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.","takatost, iamjoel, JohnJyong",100+,2023-04-12,2024-11-05,0
infiniflow/ragflow,AI engineering,AIE framework,21889,109,0.50%,661,3.02%,2143,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,"KevinHuSh, cike8899, writinwaters",100+,2023-12-12,2024-11-05,0
comfyanonymous/ComfyUI,AI engineering,AIE framework,55693,100,0.18%,664,1.19%,5879,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","comfyanonymous, pythongosssss, huchenlei",100+,2023-01-17,2024-11-04,598131
paul-gauthier/aider,Applications,Coding,21420,93,0.43%,374,1.75%,1999,aider is AI pair programming in your terminal,"paul-gauthier, joshuavial, fry69",58,2023-05-09,2024-10-29,0
geekan/MetaGPT,AI engineering,Agent,44905,89,0.20%,268,0.60%,5341,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming","geekan, garylin2099, better629",100+,2023-06-30,2024-11-04,583
vanna-ai/vanna,Applications,Coding,11547,79,0.68%,166,1.44%,925,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.,"zainhoda, andreped, arslanhashmi",59,2023-05-13,2024-10-29,0
openai/swarm,AI engineering,Agent,15543,72,0.46%,487,3.13%,1485,"Educational framework exploring ergonomic, lightweight multi-agent orchestration. Managed by OpenAI Solution team.","ibigio, shyamal-anadkat, greg-admin",14,2024-02-22,2024-10-15,0
danielmiessler/fabric,Applications,Workflow automation,24532,71,0.29%,368,1.50%,2626,fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,"danielmiessler, eugeis, xssdoctor",100+,2024-01-03,2024-11-05,3449
dair-ai/Prompt-Engineering-Guide,Tutorials,Prompt engineering,49902,70,0.14%,212,0.42%,4839,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering","omarsar, behrends, ThunderCatXp",100+,2022-12-16,2024-06-22,0
mlabonne/llm-course,Tutorials,,38766,65,0.17%,251,0.65%,4101,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,"mlabonne, pitmonticone",2,2023-06-17,2024-01-02,0
ggerganov/llama.cpp,Model development,Inference optimization,67340,62,0.09%,306,0.45%,9673,LLM inference in C/C++,"ggerganov, slaren, JohannesGaessler",100+,2023-03-10,2024-11-05,265519
logspace-ai/langflow,AI engineering,AIE framework,33354,60,0.18%,493,1.48%,4059,"Langflow is a low-code app builder for RAG and multi-agent AI applications. It’s Python-based and agnostic to any model, API, or database.","ogabrielluiz, anovazzi1, lucaseduoli",100+,2023-02-08,2024-11-05,1158
RVC-Boss/GPT-SoVITS,AI engineering,AI interface,35149,59,0.17%,342,0.97%,4018,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),"RVC-Boss, KamioRinn, XXXXRT666",72,2024-01-14,2024-10-30,0
KillianLucas/open-interpreter,Applications,Workflow automation,54915,59,0.11%,532,0.97%,4787,A natural language interface for computers,"KillianLucas, Notnaton, MikeBirdTech",100+,2023-07-14,2024-11-05,41
